Visitors to www.dicelords.com for the month of April 2003 = 42
+ Total # of unique visitors in 2003 = 198

#Date	  , Time    | IP Address
------------------------------------
04-01-2003, 02:47PM | 210.214.33.12
04-01-2003, 09:19PM | 81.152.179.26
04-02-2003, 09:36AM | 210.214.33.5
04-02-2003, 10:45PM | 217.113.16.90
04-06-2003, 10:18AM | 211.157.36.5
04-06-2003, 10:18AM | 211.157.36.4
04-07-2003, 12:38PM | 210.214.151.131
04-08-2003, 03:23PM | 217.86.1.15
04-11-2003, 04:52PM | 203.124.147.214
04-14-2003, 09:38PM | 212.113.164.100
04-15-2003, 04:27PM | 202.88.158.149
04-15-2003, 04:36PM | 203.124.146.154
04-15-2003, 11:06PM | 67.243.92.223
04-16-2003, 03:28PM | 203.115.73.173
04-17-2003, 12:28AM | 210.214.26.95
04-17-2003, 05:08PM | 202.68.143.226
04-17-2003, 05:41PM | 210.210.104.220
04-18-2003, 01:55PM | 202.70.199.24
04-18-2003, 03:22PM | 219.65.1.17
04-18-2003, 05:35PM | 203.129.237.138
04-21-2003, 12:15PM | 202.134.186.46
04-22-2003, 10:17AM | 202.70.194.158
04-23-2003, 05:40PM | 202.9.160.111
04-23-2003, 07:06PM | 210.214.33.205
04-24-2003, 02:13PM | 219.65.69.239
04-24-2003, 02:17PM | 61.11.7.162
04-24-2003, 02:19PM | 219.65.69.239
04-24-2003, 06:36PM | 210.214.33.163
04-24-2003, 06:43PM | 210.210.63.186
04-25-2003, 11:43AM | 202.88.163.121
04-25-2003, 11:20PM | 155.247.185.110
04-26-2003, 10:48AM | 203.122.53.130
04-26-2003, 11:56AM | 202.70.199.24
04-26-2003, 02:04PM | 202.149.221.171
04-26-2003, 06:05PM | 210.214.37.177
04-27-2003, 12:23PM | 203.192.195.95
04-28-2003, 01:23AM | 202.88.163.121
04-28-2003, 06:58PM | 202.71.138.18
04-28-2003, 07:55PM | 210.210.63.36
04-29-2003, 01:07PM | 202.63.175.165
04-29-2003, 05:25PM | 64.210.196.198
04-30-2003, 11:44PM | 219.65.9.189
