Visitors to www.dicelords.com for the month of October 2003 = 33
+ Total # of unique visitors in 2003 = 435

#Date	  , Time    | IP Address
------------------------------------
10-01-2003, 11:30AM | 61.11.17.1
10-02-2003, 11:06AM | 202.138.120.38
10-05-2003, 02:18AM | 202.140.134.234
10-06-2003, 12:36AM | 202.68.151.34
10-06-2003, 11:43AM | 64.210.196.197
10-07-2003, 08:27PM | 61.11.16.25
10-08-2003, 01:00AM | 202.68.151.34
10-08-2003, 02:16PM | 202.88.164.243
10-09-2003, 01:15PM | 202.177.182.11
10-09-2003, 06:29PM | 210.210.61.146
10-10-2003, 10:57PM | 211.157.36.7
10-12-2003, 10:06PM | 202.88.178.194
10-13-2003, 04:51PM | 203.199.55.205
10-15-2003, 10:15PM | 202.9.160.137
10-15-2003, 10:25PM | 202.9.160.137
10-16-2003, 08:50AM | 207.81.27.93
10-17-2003, 08:11AM | 202.60.132.39
10-17-2003, 09:06AM | 210.214.37.223
10-17-2003, 09:55AM | 203.199.119.253
10-17-2003, 10:45AM | 202.56.245.164
10-17-2003, 11:51PM | 4.8.98.10
10-18-2003, 07:59PM | 172.144.31.73
10-19-2003, 11:21PM | 202.88.163.121
10-20-2003, 10:59AM | 202.149.210.70
10-22-2003, 10:42AM | 61.11.79.102
10-22-2003, 04:29PM | 216.126.89.213
10-22-2003, 10:10PM | 24.59.77.252
10-27-2003, 04:51AM | 203.9.249.193
10-28-2003, 09:28AM | 194.149.80.4
10-28-2003, 05:19PM | 203.109.73.148
10-30-2003, 11:28AM | 202.149.210.70
