VISITORS TO www.futuretrendsehs.com

+ JAN 2004 	=  235
+ FEB 2004 	= 1056
+ MAR 2004 	=  236
+ APR 2004 	=  239
**********************
+ TOTAL		= 1766
**********************



STATISTICS FOR APRIL 2004
------------------------------------
#Date	  , Time    | IP Address
------------------------------------
04-01-2004, 01:06AM | 64.12.116.149
04-01-2004, 05:11AM | 63.164.254.12
04-01-2004, 05:20AM | 63.164.254.12
04-01-2004, 06:25AM | 131.94.113.129
04-01-2004, 07:31AM | 142.166.251.113
04-01-2004, 09:08AM | 167.197.101.129
04-01-2004, 09:41AM | 216.148.246.70
04-01-2004, 09:51AM | 66.119.34.39
04-01-2004, 10:05AM | 24.123.146.46
04-01-2004, 10:26AM | 141.150.44.111
04-01-2004, 10:29AM | 198.26.132.99
04-01-2004, 10:29AM | 198.26.132.99
04-01-2004, 10:29AM | 131.6.84.67
04-01-2004, 11:50AM | 207.172.215.24
04-01-2004, 11:50AM | 207.172.215.24
04-01-2004, 12:43PM | 192.249.47.11
04-01-2004, 01:49PM | 192.207.58.22
04-01-2004, 07:26PM | 68.99.206.154
04-01-2004, 07:39PM | 24.236.76.15
04-02-2004, 03:51AM | 66.192.193.119
04-02-2004, 06:55AM | 63.65.190.53
04-02-2004, 07:04AM | 66.120.141.50
04-02-2004, 09:34AM | 144.80.78.5
04-02-2004, 11:16AM | 24.239.194.44
04-02-2004, 01:51PM | 207.87.58.220
04-03-2004, 01:30AM | 205.56.162.40
04-03-2004, 03:33PM | 205.188.116.149
04-04-2004, 03:10AM | 199.222.14.2
04-04-2004, 12:16PM | 24.185.248.196
04-04-2004, 12:17PM | 24.185.248.196
04-04-2004, 12:17PM | 24.185.248.196
04-04-2004, 12:19PM | 24.185.248.196
04-04-2004, 12:19PM | 24.185.248.196
04-04-2004, 07:05PM | 64.12.116.149
04-05-2004, 08:53AM | 169.227.254.3
04-05-2004, 12:45PM | 146.126.51.51
04-05-2004, 12:57PM | 63.162.143.21
04-05-2004, 01:42PM | 209.237.238.172
04-05-2004, 01:43PM | 206.170.114.178
04-05-2004, 03:11PM | 205.188.116.149
04-05-2004, 04:50PM | 69.66.112.243
04-05-2004, 05:41PM | 148.177.1.213
04-05-2004, 07:02PM | 198.81.26.70
04-05-2004, 08:32PM | 198.81.26.70
04-05-2004, 08:33PM | 68.212.120.12
