VISITORS TO www.futuretrendsehs.com

+ JAN 2004 	=  235
+ FEB 2004 	= 1056
**********************
+ TOTAL		= 1291
**********************



STATISTICS FOR FEBRUARY 2004
------------------------------------
#Date	  , Time    | IP Address
------------------------------------
02-01-2004, 07:05AM | 202.9.161.156
02-01-2004, 07:12AM | 202.9.161.156
02-01-2004, 08:12AM | 24.174.13.211
02-01-2004, 08:17PM | 137.189.4.4
02-01-2004, 10:17PM | 209.112.150.233
02-02-2004, 12:30AM | 63.77.247.130
02-02-2004, 12:30AM | 63.77.247.130
02-02-2004, 02:33AM | 203.94.212.100
02-02-2004, 05:18AM | 167.155.103.86
02-02-2004, 06:06AM | 65.2.8.94
02-02-2004, 06:32AM | 168.241.241.237
02-02-2004, 06:55AM | 68.51.250.63
02-02-2004, 06:56AM | 35.12.133.2
02-02-2004, 07:02AM | 209.30.131.156
02-02-2004, 07:07AM | 66.6.80.49
02-02-2004, 07:13AM | 209.30.131.156
02-02-2004, 07:16AM | 219.92.252.207
02-02-2004, 07:59AM | 198.7.225.1
02-02-2004, 08:05AM | 156.63.162.95
02-02-2004, 08:26AM | 209.7.50.7
02-02-2004, 08:29AM | 199.243.125.126
02-02-2004, 08:55AM | 63.67.43.147
02-02-2004, 08:55AM | 63.67.43.147
02-02-2004, 08:57AM | 198.137.241.11
02-02-2004, 09:02AM | 134.20.72.160
02-02-2004, 09:14AM | 12.31.208.217
02-02-2004, 09:14AM | 12.31.208.217
02-02-2004, 09:16AM | 198.137.241.11
02-02-2004, 09:36AM | 130.39.28.153
02-02-2004, 10:17AM | 24.129.161.246
02-02-2004, 10:39AM | 66.0.244.114
02-02-2004, 11:03AM | 205.244.126.49
02-02-2004, 11:22AM | 158.48.6.10
02-02-2004, 11:49AM | 67.32.218.162
02-02-2004, 11:50AM | 64.173.106.73
02-02-2004, 12:03PM | 69.2.71.101
02-02-2004, 12:19PM | 82.48.206.196
02-02-2004, 12:37PM | 62.114.4.254
02-02-2004, 01:01PM | 208.187.34.138
02-02-2004, 01:06PM | 207.87.82.62
02-02-2004, 01:06PM | 68.51.115.211
02-02-2004, 01:10PM | 216.201.165.90
02-02-2004, 01:24PM | 207.87.82.62
02-02-2004, 01:56PM | 68.160.192.204
02-02-2004, 03:52PM | 69.20.155.105
02-02-2004, 06:13PM | 67.68.218.43
02-02-2004, 06:17PM | 63.191.64.207
02-02-2004, 06:29PM | 68.61.103.231
02-02-2004, 06:53PM | 67.80.90.225
02-02-2004, 07:13PM | 66.20.56.110
02-02-2004, 09:59PM | 220.73.165.14
02-03-2004, 03:46AM | 168.209.98.67
02-03-2004, 03:48AM | 168.209.98.67
02-03-2004, 04:13AM | 168.209.98.67
02-03-2004, 04:38AM | 198.179.147.18
02-03-2004, 05:04AM | 209.143.187.254
02-03-2004, 06:30AM | 64.210.196.197
02-03-2004, 06:34AM | 24.47.128.162
02-03-2004, 06:53AM | 68.67.82.105
02-03-2004, 06:55AM | 198.232.211.130
02-03-2004, 07:05AM | 65.172.96.41
02-03-2004, 07:20AM | 208.183.105.4
02-03-2004, 07:24AM | 65.42.91.138
02-03-2004, 08:09AM | 68.18.100.88
02-03-2004, 08:10AM | 168.241.241.237
02-03-2004, 08:24AM | 208.62.61.219
02-03-2004, 08:45AM | 68.88.109.141
02-03-2004, 08:47AM | 66.21.49.133
02-03-2004, 08:50AM | 209.137.167.82
02-03-2004, 09:09AM | 62.23.157.106
02-03-2004, 09:12AM | 129.65.90.30
02-03-2004, 09:16AM | 64.173.93.114
02-03-2004, 09:23AM | 206.134.176.155
02-03-2004, 09:36AM | 64.250.239.78
02-03-2004, 09:40AM | 66.210.190.30
02-03-2004, 09:41AM | 69.2.71.246
02-03-2004, 10:56AM | 64.250.239.78
02-03-2004, 11:03AM | 69.19.5.26
02-03-2004, 11:05AM | 64.250.239.78
02-03-2004, 11:08AM | 65.215.96.227
02-03-2004, 11:13AM | 65.215.96.227
02-03-2004, 11:17AM | 65.161.6.20
02-03-2004, 11:22AM | 206.176.111.115
02-03-2004, 11:23AM | 195.29.98.173
02-03-2004, 11:30AM | 199.91.36.254
02-03-2004, 11:34AM | 199.91.36.254
02-03-2004, 11:44AM | 63.226.35.51
02-03-2004, 12:05PM | 63.162.13.102
02-03-2004, 12:47PM | 63.189.104.24
02-03-2004, 12:55PM | 63.189.104.24
02-03-2004, 12:58PM | 208.38.3.117
02-03-2004, 01:04PM | 155.31.112.96
02-03-2004, 02:51PM | 212.138.47.12
02-03-2004, 03:48PM | 64.95.214.11
02-03-2004, 03:49PM | 207.216.93.32
02-03-2004, 04:31PM | 68.83.136.54
02-03-2004, 04:32PM | 66.134.188.26
02-03-2004, 04:34PM | 68.83.136.54
02-03-2004, 05:05PM | 24.222.122.200
02-03-2004, 05:17PM | 67.66.247.166
02-03-2004, 05:19PM | 67.66.247.166
02-03-2004, 05:19PM | 67.66.247.166
02-03-2004, 05:20PM | 67.66.247.166
02-03-2004, 05:20PM | 67.66.247.166
02-03-2004, 05:39PM | 144.228.39.74
02-03-2004, 05:54PM | 206.148.48.189
02-03-2004, 06:45PM | 209.212.204.254
02-03-2004, 06:58PM | 218.32.136.93
02-03-2004, 07:27PM | 200.64.214.147
02-03-2004, 07:37PM | 198.148.180.123
02-03-2004, 07:39PM | 198.148.180.123
02-03-2004, 09:24PM | 219.92.252.188
02-03-2004, 09:34PM | 202.78.97.39
02-03-2004, 10:33PM | 203.179.48.72
02-03-2004, 10:34PM | 203.179.48.72
02-03-2004, 10:34PM | 203.179.48.72
02-03-2004, 10:34PM | 203.179.48.72
02-03-2004, 10:37PM | 203.179.48.72
02-04-2004, 12:29AM | 63.161.86.254
02-04-2004, 12:29AM | 63.161.86.254
02-04-2004, 01:45AM | 80.88.112.11
02-04-2004, 03:19AM | 207.218.233.203
02-04-2004, 04:40AM | 207.230.211.194
02-04-2004, 05:22AM | 65.194.183.135
02-04-2004, 05:39AM | 65.167.37.198
02-04-2004, 05:43AM | 67.21.53.10
02-04-2004, 05:55AM | 202.239.132.57
02-04-2004, 05:57AM | 198.63.171.23
02-04-2004, 06:17AM | 65.82.217.45
02-04-2004, 06:33AM | 209.50.28.143
02-04-2004, 06:41AM | 65.40.20.199
02-04-2004, 06:46AM | 152.163.252.200
02-04-2004, 07:05AM | 63.145.115.195
02-04-2004, 07:58AM | 64.217.120.51
02-04-2004, 08:02AM | 24.153.222.10
02-04-2004, 08:03AM | 162.114.211.143
02-04-2004, 08:10AM | 206.71.120.1
02-04-2004, 08:34AM | 158.111.4.25
02-04-2004, 08:56AM | 66.82.168.1
02-04-2004, 08:57AM | 159.124.8.149
02-04-2004, 09:29AM | 24.123.245.166
02-04-2004, 09:37AM | 40.0.40.10
02-04-2004, 09:42AM | 136.171.122.19
02-04-2004, 09:44AM | 67.100.28.48
02-04-2004, 10:06AM | 68.80.148.27
02-04-2004, 10:35AM | 12.96.7.14
02-04-2004, 12:16PM | 192.45.72.27
02-04-2004, 12:16PM | 192.45.72.27
02-04-2004, 12:29PM | 207.192.199.97
02-04-2004, 12:35PM | 216.37.205.56
02-04-2004, 12:41PM | 64.185.22.227
02-04-2004, 12:46PM | 65.43.146.131
02-04-2004, 12:53PM | 198.81.26.70
02-04-2004, 12:55PM | 208.36.107.144
02-04-2004, 01:50PM | 66.199.16.86
02-04-2004, 01:54PM | 66.199.16.86
02-04-2004, 02:23PM | 66.136.184.57
02-04-2004, 02:49PM | 66.17.19.160
02-04-2004, 03:03PM | 198.12.16.4
02-04-2004, 04:06PM | 69.79.5.85
02-04-2004, 04:13PM | 129.80.22.133
02-04-2004, 04:13PM | 129.80.22.133
02-04-2004, 04:14PM | 216.52.44.194
02-04-2004, 04:27PM | 65.151.216.169
02-04-2004, 04:56PM | 68.107.89.86
02-04-2004, 05:36PM | 208.186.44.151
02-04-2004, 06:16PM | 156.99.90.178
02-04-2004, 06:18PM | 156.99.90.178
02-04-2004, 06:18PM | 212.138.64.172
02-04-2004, 08:28PM | 204.62.64.95
02-04-2004, 08:45PM | 63.228.161.139
02-04-2004, 08:54PM | 68.34.4.154
02-04-2004, 09:05PM | 4.61.200.82
02-04-2004, 09:06PM | 192.251.125.40
02-04-2004, 09:47PM | 203.106.219.167
02-04-2004, 09:48PM | 203.106.219.167
02-04-2004, 09:48PM | 203.106.219.167
02-04-2004, 10:50PM | 64.12.96.168
02-05-2004, 12:09AM | 194.149.80.4
02-05-2004, 12:12AM | 24.186.227.246
02-05-2004, 01:08AM | 64.172.58.8
02-05-2004, 02:53AM | 144.160.98.31
02-05-2004, 03:58AM | 24.60.244.58
02-05-2004, 04:20AM | 193.50.52.2
02-05-2004, 04:20AM | 193.50.52.2
02-05-2004, 04:35AM | 216.75.160.194
02-05-2004, 05:18AM | 212.138.64.173
02-05-2004, 06:18AM | 202.9.160.107
02-05-2004, 06:25AM | 217.44.253.9
