
+ JAN 2004 	=  235
+ FEB 2004 	= 1056
+ MAR 2004 	=  236
+ APR 2004 	=  239
+ MAY 2004 	=  236
+ JUN 2004 	=  295
+ JUL 2004 	=  167
**********************
+ TOTAL		= 2464
**********************



STATISTICS FOR JULY 2004
------------------------------------
#Date	  , Time    | IP Address
------------------------------------
07-01-2004, 12:29AM | 195.229.241.188
07-01-2004, 06:03AM | 63.102.176.194
07-01-2004, 10:27AM | 138.163.0.43
07-01-2004, 11:04AM | 152.163.253.5
07-01-2004, 11:13AM | 67.39.236.42
07-01-2004, 02:41PM | 64.217.109.186
07-01-2004, 03:42PM | 216.67.162.218
07-02-2004, 05:29AM | 24.242.240.79
07-02-2004, 11:24AM | 63.160.130.146
07-02-2004, 12:23PM | 205.188.116.134
07-02-2004, 12:30PM | 64.5.22.10
07-02-2004, 12:35PM | 205.188.116.134
07-02-2004, 08:19PM | 68.105.201.14
07-02-2004, 09:04PM | 203.131.185.248
07-02-2004, 09:05PM | 203.131.185.248
07-04-2004, 05:32AM | 62.3.32.33
07-04-2004, 03:28PM | 69.76.150.134
07-04-2004, 07:21PM | 209.179.232.156
07-05-2004, 03:07AM | 213.42.2.28
07-05-2004, 08:51AM | 65.43.218.134
07-05-2004, 05:10PM | 68.18.35.219
07-05-2004, 06:49PM | 24.195.21.98
07-05-2004, 11:59PM | 4.63.233.218
07-06-2004, 02:18AM | 198.134.100.10
07-06-2004, 04:02AM | 204.115.208.67
07-06-2004, 04:08AM | 143.115.159.53
07-06-2004, 04:08AM | 143.115.159.53
07-06-2004, 04:27AM | 216.99.65.8
07-06-2004, 06:28AM | 206.231.19.4
07-06-2004, 07:25AM | 66.166.33.36
07-06-2004, 07:33AM | 192.249.47.8
07-06-2004, 09:07AM | 161.185.150.189
07-06-2004, 10:26AM | 216.180.8.249
07-06-2004, 11:04AM | 161.185.150.189
07-06-2004, 11:57AM | 65.11.212.116
07-06-2004, 01:23PM | 206.16.206.126
07-06-2004, 02:00PM | 129.239.16.99
07-06-2004, 04:47PM | 205.188.116.134
07-06-2004, 07:28PM | 12.202.173.97
07-06-2004, 07:31PM | 12.202.173.97
07-06-2004, 09:24PM | 192.55.40.97
07-06-2004, 09:26PM | 65.3.68.248
07-07-2004, 05:20AM | 151.163.2.8
07-07-2004, 05:33AM | 63.171.65.22
07-07-2004, 10:10AM | 66.153.108.209
07-07-2004, 11:49AM | 64.105.63.42
07-07-2004, 12:51PM | 198.203.146.140
07-07-2004, 12:54PM | 67.153.208.10
07-07-2004, 04:24PM | 66.74.51.106
07-07-2004, 04:51PM | 167.196.227.219
07-07-2004, 06:11PM | 24.28.53.19
07-07-2004, 06:27PM | 12.221.163.144
07-08-2004, 07:16AM | 67.92.40.234
07-08-2004, 07:46AM | 64.105.63.42
07-08-2004, 07:50AM | 64.105.63.42
07-08-2004, 08:13AM | 198.187.3.12
07-08-2004, 08:36AM | 207.207.58.100
07-08-2004, 01:48PM | 24.106.2.33
07-08-2004, 03:11PM | 24.195.231.21
07-08-2004, 04:04PM | 209.74.53.229
07-08-2004, 09:07PM | 206.148.32.107
07-09-2004, 07:51AM | 69.7.108.2
07-09-2004, 08:15AM | 24.245.58.56
07-09-2004, 10:17AM | 141.149.248.226
07-09-2004, 11:36AM | 192.35.35.42
07-09-2004, 11:36AM | 192.35.35.42
07-09-2004, 11:37AM | 63.250.179.198
07-09-2004, 11:37AM | 63.250.179.198
07-09-2004, 11:44AM | 209.26.19.157
07-09-2004, 12:51PM | 24.98.227.71
07-09-2004, 01:14PM | 207.188.182.80
07-09-2004, 01:40PM | 68.166.252.111
07-09-2004, 01:42PM | 68.166.252.111
07-09-2004, 03:29PM | 63.194.250.13
07-09-2004, 03:34PM | 63.194.250.13
07-09-2004, 04:53PM | 68.57.228.181
07-10-2004, 07:02AM | 69.160.177.49
07-11-2004, 02:56PM | 217.129.229.226
07-11-2004, 07:25PM | 67.33.212.29
07-11-2004, 07:38PM | 152.163.253.5
07-11-2004, 08:07PM | 24.5.159.251
07-12-2004, 04:55AM | 205.188.116.134
07-12-2004, 08:10AM | 66.81.177.116
07-12-2004, 08:41AM | 169.132.12.200
07-12-2004, 08:41AM | 169.132.12.200
07-12-2004, 09:03AM | 203.175.66.11
07-12-2004, 09:56AM | 152.163.253.5
07-13-2004, 06:00AM | 69.7.167.129
07-13-2004, 06:00AM | 69.7.167.129
07-13-2004, 07:00AM | 208.187.72.104
07-13-2004, 08:21AM | 24.214.219.141
07-13-2004, 08:27AM | 24.214.219.141
07-13-2004, 08:27AM | 24.214.219.141
07-13-2004, 08:51AM | 156.63.162.206
07-13-2004, 10:12AM | 24.88.111.134
07-13-2004, 10:45AM | 57.69.14.130
07-13-2004, 10:57AM | 192.136.16.3
07-13-2004, 11:02AM | 66.17.4.194
07-13-2004, 01:16PM | 198.62.89.251
07-13-2004, 08:16PM | 66.215.209.32
07-13-2004, 08:23PM | 68.107.104.108
07-14-2004, 12:17AM | 195.229.241.183
07-14-2004, 07:28AM | 65.119.246.90
07-14-2004, 08:49AM | 12.43.88.51
07-14-2004, 09:01AM | 205.188.116.134
07-14-2004, 10:10AM | 64.65.209.18
07-14-2004, 10:43AM | 69.48.53.242
07-14-2004, 11:02AM | 68.9.89.60
07-14-2004, 12:19PM | 65.81.106.239
07-14-2004, 01:12PM | 66.119.33.135
07-14-2004, 05:00PM | 206.16.33.11
07-14-2004, 08:11PM | 69.107.82.68
07-15-2004, 04:56AM | 140.215.168.20
07-15-2004, 05:47AM | 148.59.87.237
07-15-2004, 05:48AM | 148.59.87.237
07-15-2004, 05:51AM | 148.59.87.237
07-15-2004, 07:19AM | 64.12.116.149
07-15-2004, 11:24AM | 129.71.177.254
07-15-2004, 12:13PM | 149.174.164.68
07-15-2004, 03:27PM | 66.82.192.1
07-15-2004, 06:27PM | 205.188.116.134
07-16-2004, 05:48AM | 64.5.91.194
07-16-2004, 05:58AM | 64.185.7.222
07-16-2004, 10:12AM | 12.161.206.82
07-16-2004, 11:58AM | 68.107.39.177
07-16-2004, 01:28PM | 68.41.167.128
07-16-2004, 01:31PM | 64.164.59.131
07-16-2004, 02:19PM | 205.188.116.134
07-16-2004, 03:39PM | 64.210.196.195
07-16-2004, 11:18PM | 212.138.47.12
07-17-2004, 04:52AM | 24.162.20.246
07-17-2004, 08:53AM | 216.196.144.252
07-17-2004, 07:07PM | 205.188.116.134
07-17-2004, 11:59PM | 136.226.254.148
07-18-2004, 12:01AM | 136.226.254.148
07-18-2004, 07:30AM | 205.188.116.134
07-18-2004, 08:10AM | 68.41.167.128
07-18-2004, 02:04PM | 12.151.162.11
07-18-2004, 02:14PM | 12.151.162.12
07-18-2004, 02:14PM | 12.151.162.12
07-18-2004, 07:03PM | 151.205.70.3
07-19-2004, 01:50AM | 166.87.100.33
07-19-2004, 07:02AM | 24.147.21.89
07-19-2004, 07:03AM | 24.147.21.89
07-19-2004, 08:30AM | 12.161.205.210
07-19-2004, 11:05AM | 66.55.41.106
07-19-2004, 12:01PM | 64.185.7.222
07-19-2004, 12:55PM | 204.95.252.158
07-19-2004, 01:12PM | 192.67.48.157
07-19-2004, 01:17PM | 152.163.253.5
07-19-2004, 02:30PM | 65.204.201.242
07-19-2004, 02:42PM | 161.159.4.35
07-19-2004, 02:42PM | 161.159.4.35
07-19-2004, 03:26PM | 24.162.20.246
07-21-2004, 04:21AM | 64.210.196.195
07-21-2004, 04:25AM | 203.196.141.34
07-21-2004, 04:31AM | 203.196.141.34
07-23-2004, 08:15AM | 64.132.30.152
07-23-2004, 02:39PM | 63.169.77.3
07-23-2004, 03:09PM | 66.192.193.119
07-26-2004, 06:13PM | 66.25.15.147
07-27-2004, 07:49AM | 219.65.42.69
07-29-2004, 04:41AM | 64.210.196.195
07-29-2004, 07:55AM | 12.4.195.228
07-29-2004, 07:55AM | 12.4.195.228
07-30-2004, 02:26AM | 213.42.2.29
07-30-2004, 06:07AM | 195.173.34.212
