VISITORS TO www.futuretrendsehs.com

+ JAN 2004 	=  235
+ FEB 2004 	= 1056
+ MAR 2004 	=  236
+ APR 2004 	=  239
+ MAY 2004 	=  236
**********************
+ TOTAL		= 2002
**********************



STATISTICS FOR MAY 2004
------------------------------------
#Date	  , Time    | IP Address
------------------------------------
05-01-2004, 05:11PM | 68.10.71.56
05-02-2004, 12:00PM | 203.88.137.238
05-02-2004, 12:53PM | 24.243.0.186
05-02-2004, 12:58PM | 24.243.0.186
05-02-2004, 02:24PM | 65.34.110.245
05-02-2004, 06:36PM | 152.163.252.200
05-02-2004, 08:22PM | 4.231.146.128
05-02-2004, 08:24PM | 4.231.146.128
05-02-2004, 09:50PM | 24.56.50.13
05-03-2004, 07:18AM | 205.148.50.200
05-03-2004, 08:01AM | 152.163.252.200
05-03-2004, 08:05AM | 192.68.112.110
05-03-2004, 08:13AM | 24.207.163.138
05-03-2004, 08:44AM | 152.163.252.200
05-03-2004, 08:48AM | 66.233.202.40
05-03-2004, 09:56AM | 142.205.241.197
05-03-2004, 10:00AM | 152.163.252.200
05-03-2004, 10:00AM | 152.163.252.200
05-03-2004, 11:02AM | 68.52.77.250
05-03-2004, 11:46AM | 66.12.236.170
05-03-2004, 12:02PM | 66.12.236.170
05-03-2004, 12:05PM | 66.12.236.170
05-03-2004, 01:34PM | 64.12.116.149
05-03-2004, 06:04PM | 198.81.26.70
05-03-2004, 09:46PM | 213.42.2.24
05-03-2004, 10:02PM | 24.92.104.18
05-03-2004, 10:02PM | 24.92.104.18
05-04-2004, 08:13AM | 216.118.190.9
05-04-2004, 08:37AM | 204.60.171.225
05-04-2004, 09:31AM | 216.76.95.35
05-04-2004, 11:16AM | 64.65.200.49
05-04-2004, 12:01PM | 137.28.55.139
05-04-2004, 12:02PM | 64.12.116.149
05-04-2004, 12:36PM | 66.72.150.190
05-04-2004, 01:38PM | 24.165.40.158
05-04-2004, 01:38PM | 24.165.40.158
05-04-2004, 09:22PM | 68.2.147.25
05-05-2004, 07:27AM | 141.150.35.57
05-05-2004, 07:48AM | 198.26.125.12
05-05-2004, 07:48AM | 198.26.125.12
05-05-2004, 07:48AM | 198.26.125.12
05-05-2004, 09:46AM | 64.118.136.250
05-05-2004, 09:59AM | 138.230.48.18
05-05-2004, 11:32AM | 64.12.116.149
05-05-2004, 05:58PM | 24.204.24.210
05-05-2004, 06:30PM | 204.31.123.190
05-05-2004, 06:57PM | 69.138.243.156
05-05-2004, 09:38PM | 68.120.163.147
05-06-2004, 12:31AM | 203.88.149.228
05-06-2004, 01:16AM | 203.88.149.228
05-06-2004, 10:06AM | 151.188.16.40
05-06-2004, 10:36AM | 12.108.130.11
05-06-2004, 10:36AM | 12.108.130.11
